ODATEDW,OSOURCE,TCODE,STATE,ZIP,MAILCODE,PVASTATE,DOB,NOEXCH,RECINHSE,RECP3,RECPGVG,RECSWEEP,MDMAUD,DOMAIN,CLUSTER,AGE,AGEFLAG,HOMEOWNR,CHILD03,CHILD07,CHILD12,CHILD18,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,MBCRAFT,MBGARDEN,MBBOOKS,MBCOLECT,MAGFAML,MAGFEM,MAGMALE,PUBGARDN,PUBCULIN,PUBHLTH,PUBDOITY,PUBNEWFN,PUBPHOTO,PUBOPP,DATASRCE,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,SOLP3,SOLIH,MAJOR,WEALTH2,GEOCODE,COLLECT1,VETERANS,BIBLE,CATLG,HOMEE,PETS,CDPLAY,STEREO,PCOWNERS,PHOTO,CRAFTS,FISHER,GARDENIN,BOATS,WALKER,KIDSTUFF,CARDS,PLATES,LIFESRC,PEPSTRFL,POP901,POP902,POP903,POP90C1,POP90C2,POP90C3,POP90C4,POP90C5,ETH1,ETH2,ETH3,ETH4,ETH5,ETH6,ETH7,ETH8,ETH9,ETH10,ETH11,ETH12,ETH13,ETH14,ETH15,ETH16,AGE901,AGE902,AGE903,AGE904,AGE905,AGE906,AGE907,CHIL1,CHIL2,CHIL3,AGEC1,AGEC2,AGEC3,AGEC4,AGEC5,AGEC6,AGEC7,CHILC1,CHILC2,CHILC3,CHILC4,CHILC5,HHAGE1,HHAGE2,HHAGE3,HHN1,HHN2,HHN3,HHN4,HHN5,HHN6,MARR1,MARR2,MARR3,MARR4,HHP1,HHP2,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,HV1,HV2,HV3,HV4,HU1,HU2,HU3,HU4,HU5,HHD1,HHD2,HHD3,HHD4,HHD5,HHD6,HHD7,HHD8,HHD9,HHD10,HHD11,HHD12,ETHC1,ETHC2,ETHC3,ETHC4,ETHC5,ETHC6,HVP1,HVP2,HVP3,HVP4,HVP5,HVP6,HUR1,HUR2,RHP1,RHP2,RHP3,RHP4,HUPA1,HUPA2,HUPA3,HUPA4,HUPA5,HUPA6,HUPA7,RP1,RP2,RP3,RP4,MSA,ADI,DMA,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,HHAS1,HHAS2,HHAS3,HHAS4,MC1,MC2,MC3,TPE1,TPE2,TPE3,TPE4,TPE5,TPE6,TPE7,TPE8,TPE9,PEC1,PEC2,TPE10,TPE11,TPE12,TPE13,LFC1,LFC2,LFC3,LFC4,LFC5,LFC6,LFC7,LFC8,LFC9,LFC10,OCC1,OCC2,OCC3,OCC4,OCC5,OCC6,OCC7,OCC8,OCC9,OCC10,OCC11,OCC12,OCC13,EIC1,EIC2,EIC3,EIC4,EIC5,EIC6,EIC7,EIC8,EIC9,EIC10,EIC11,EIC12,EIC13,EIC14,EIC15,EIC16,OEDC1,OEDC2,OEDC3,OEDC4,OEDC5,OEDC6,OEDC7,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,SEC1,SEC2,SEC3,SEC4,SEC5,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,VC1,VC2,VC3,VC4,ANC1,ANC2,ANC3,ANC4,ANC5,ANC6,ANC7,ANC8,ANC9,ANC10,ANC11,ANC12,ANC13,ANC14,ANC15,POBC1,POBC2,LSC1,LSC2,LSC3,LSC4,VOC1,VOC2,VOC3,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,MHUC1,MHUC2,AC1,AC2,ADATE_2,ADATE_3,ADATE_4,ADATE_5,ADATE_6,ADATE_7,ADATE_8,ADATE_9,ADATE_10,ADATE_11,ADATE_12,ADATE_13,ADATE_14,ADATE_15,ADATE_16,ADATE_17,ADATE_18,ADATE_19,ADATE_20,ADATE_21,ADATE_22,ADATE_23,ADATE_24,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,RFA_11,RFA_12,RFA_13,RFA_14,RFA_15,RFA_16,RFA_17,RFA_18,RFA_19,RFA_20,RFA_21,RFA_22,RFA_23,RFA_24,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,RDATE_3,RDATE_4,RDATE_5,RDATE_6,RDATE_7,RDATE_8,RDATE_9,RDATE_10,RDATE_11,RDATE_12,RDATE_13,RDATE_14,RDATE_15,RDATE_16,RDATE_17,RDATE_18,RDATE_19,RDATE_20,RDATE_21,RDATE_22,RDATE_23,RDATE_24,RAMNT_3,RAMNT_4,RAMNT_5,RAMNT_6,RAMNT_7,RAMNT_8,RAMNT_9,RAMNT_10,RAMNT_11,RAMNT_12,RAMNT_13,RAMNT_14,RAMNT_15,RAMNT_16,RAMNT_17,RAMNT_18,RAMNT_19,RAMNT_20,RAMNT_21,RAMNT_22,RAMNT_23,RAMNT_24,RAMNTALL,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,LASTDATE,FISTDATE,NEXTDATE,TIMELAG,AVGGIFT,CONTROLN,TARGET_B,TARGET_D,HPHONE_D,RFA_2R,RFA_2F,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,CLUSTER2,GEOCODE2
9201,FRC,0,FL,34608, , ,1510,0, , , , ,XXXX,T2,37,82.0,E,H, , , , ,,2.0,F,,0,,,,,,,,,,,,,,,2,0,45,27,58,2,0,2, , , ,1.0, , , , , , , , , , , , , , , , , , , , ,X,1352,366,548,99,0,0,43,57,96,3,0,1,4,0,0,0,0,0,0,0,1,2,1,1,55,62,63,49,58,60,17,42,41,17,5,14,12,8,18,19,25,16,20,32,22,10,52,24,47,30,42,28,17,8,2,61,8,20,11,147,225,72,72,0,26,26,26,9,9,0,674,715,9,8,64,36,73,27,39,22,67,58,17,75,25,6,1,5,12,24,3,14,37,44,1,2,1,0,1,9,33,83,0,22,23,46,42,12,4,0,26,1,14,0,20,0,70,84,95,96,8280.0,131.0,539.0,191,239,257,299,11466,31,31,19,8,9,0,0,0,1,22,31,23,13,9,0,0,0,2,52,1,38,11,84,16,54,84,16,0,0,0,0,0,0,0,0,31,18,23,9,57,41,50,35,43,34,83,72,99,0,0,15,8,2,7,12,0,0,23,0,18,4,0,12,0,0,14,9,2,4,4,32,6,8,2,0,10,4,4,0,2,0,2,2,89,2,2,120,11,24,40,10,5,5,5,2,16,1,15,3,0,0,0,20,45,1,27,15,58,6,0,4,0,9,2,0,9,13,0,4,0,0,1,1,0,5,12,88,6,1,5,77,31,5,2,6,5,54,95,99,99,0,0,2,3,0,97,0,0,0,97,3,34,99,95,5,2,7,9,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,,9503.0,9502.0,9412.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L1F,A1F,A1F,A1F,A1F,A2F,A2F,A2F,A2F,A2F,A2F,A1F,A1F, ,A1F,A1E,A1E,A2F,A2F,A2F,A2F,A3F,A3F,19,9702,43,6,11,,,,,,,,,,,,,,9506.0,,,,9412.0,,,,,,,,,,,,,,,,,,15.0,,,,16.0,,,,,83.0,6,2,10.0,9209,16.0,9310,15.0,9506,9209,9306.0,9.0,13.833333333,44925,0,0.0,0,L,1,F,X,X,X,55.0,A
9401,HAN,28,CA,95843, , ,0,0, , , , ,XXXX,C1,24,, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,0,0,0,0,0,0,0, , , ,8.0, , , , , , , , , , , , , , , , , , , , , ,8780,2402,2873,99,0,0,50,50,75,9,1,12,8,1,1,1,5,1,2,0,5,1,0,2,27,33,34,26,36,38,33,48,38,15,10,45,28,9,5,3,1,20,20,33,17,10,5,1,3,11,31,58,37,14,5,72,8,2,18,238,305,99,87,1,1,0,0,0,0,0,1513,1533,7,5,78,22,82,18,0,53,84,75,47,91,9,6,2,5,10,9,5,21,51,3,3,6,0,5,52,96,99,99,1,1,69,59,61,16,4,1,0,0,21,1,0,0,53,65,72,72,6920.0,67.0,862.0,454,468,465,473,15359,6,10,17,28,31,7,1,0,1,6,10,15,27,34,8,1,0,0,6,5,39,5,88,12,26,81,13,1,1,0,0,1,1,3,0,16,22,26,4,81,83,91,76,89,75,77,68,85,99,2,10,20,4,14,21,0,2,10,0,10,3,1,3,1,0,5,11,5,4,5,19,11,4,3,1,9,4,6,13,4,7,10,7,65,7,0,140,2,6,23,29,12,22,6,4,31,3,22,11,7,14,1,16,28,4,57,11,7,21,1,3,0,9,0,0,3,1,1,0,1,0,0,1,0,9,45,85,4,6,5,99,78,25,1,3,42,91,96,99,99,0,2,0,66,1,31,0,0,1,98,2,98,99,99,11,3,4,2,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,,9503.0,,,9411.0,9411.0,9410.0,9409.0,,9406.0,L3G,A3G,A3G,A3G,A3G,A3G,A3G,A3G,A2G,A2G,A2G,A2G,A1F, ,A1F, , ,N1E,N1E,N1E,N1E, ,F1E,14,9702,37,6,14,,,,,,,,,,,9507.0,,,9504.0,,,,,9410.0,,,,,,,,,,,,,,50.0,,,35.0,,,,,20.0,,,,140.0,5,2,10.0,9310,50.0,9507,25.0,9512,9310,9410.0,12.0,28.0,141685,0,0.0,0,L,3,G,X,X,X,5.0,B
9001,HCC,1002,TX,75019, , ,5202,0, , , , ,XXXX,C1,24,46.0,E,H, , ,F, ,1.0,6.0,M,9.0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3,0,15,46,14,0,1,0, , , ,4.0, , , , , , , , , , , , , , , , , , , , ,X,601,191,229,0,99,0,50,50,87,3,0,6,7,2,1,2,0,1,0,0,5,0,1,0,29,32,33,28,35,36,24,49,37,14,6,54,26,10,3,0,1,23,19,32,19,7,2,1,2,13,42,45,21,7,2,78,6,1,14,187,262,99,98,0,0,0,0,0,0,0,1314,1359,6,7,95,5,89,11,0,39,83,79,37,91,9,3,1,1,12,6,3,18,67,2,1,2,0,3,30,90,99,99,0,0,89,67,69,14,3,0,0,0,5,0,0,0,58,75,75,99,1920.0,109.0,623.0,733,765,753,802,31788,0,6,4,8,34,30,15,0,3,0,3,0,5,38,33,17,0,3,8,0,52,0,93,7,33,85,9,2,2,0,0,0,2,2,3,13,26,29,5,75,93,95,91,95,91,91,88,0,0,0,11,46,4,23,5,0,0,6,1,2,0,0,1,4,3,3,14,0,5,8,19,15,7,0,2,6,5,9,0,0,1,0,2,95,0,2,160,0,5,5,19,11,44,16,4,13,3,9,5,0,0,0,8,15,0,46,0,14,19,2,5,0,13,0,1,11,2,0,0,0,0,0,1,0,6,39,89,3,0,8,97,85,15,1,3,44,99,99,99,99,0,0,0,91,0,9,0,0,0,99,0,99,99,99,14,0,0,0,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,9504.0,9503.0,9502.0,9412.0,9411.0,,9410.0,9409.0,9407.0,9406.0,L3F,A3F,A3F,A3F,A2E,A2F,A2F,A3G,A3G,A3G,A3G,A2G,A2G,A3G,A4G,A3G,A3G,A3G, ,A3G,A3G,A4G,A3G,25,9702,69,6,14,,,,,,9602.0,,9511.0,,,,9506.0,,,,,,,,9410.0,,,,,,,,17.0,,10.0,,,,10.0,,,,,,,,39.0,,,331.0,16,7,5.0,9009,39.0,9410,17.0,9602,9009,9102.0,5.0,20.6875,115658,0,0.0,1,L,3,F,X,X,X,12.0,A
9601,L02,2,LA,71483, , ,5001,0, , , , ,XXXX,R2,47,48.0,E,H, , , , ,,4.0,F,,0,,,,,,,,,,,,,,,2,0,24,25,41,9,9,3, , , ,, , , ,Y, , ,Y, ,Y, , , ,Y, , , , , , ,3, ,5593,1436,1887,0,0,99,53,47,74,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,41,45,35,45,48,26,38,41,21,13,22,20,14,12,11,7,13,17,35,20,15,31,13,30,22,30,47,29,12,5,58,11,9,22,190,272,77,77,0,0,0,0,8,8,0,358,414,1,1,88,12,78,22,12,40,76,63,32,83,17,8,2,6,11,18,1,16,44,14,6,16,3,0,1,4,12,33,0,4,39,50,52,15,4,0,0,21,9,0,0,3,1,2,4,13,0.0,327.0,628.0,194,242,251,295,9019,39,22,15,15,5,3,1,1,0,29,23,18,18,7,3,1,1,0,31,12,18,23,34,66,4,81,15,0,0,0,0,0,2,1,2,26,22,27,10,63,48,55,39,50,36,49,32,62,99,9,11,7,1,10,10,0,2,11,3,19,5,13,7,2,4,8,22,6,3,2,18,1,6,1,0,9,11,3,4,7,7,3,9,70,3,0,120,13,26,39,11,2,5,4,1,21,1,17,3,0,0,0,13,24,0,24,24,38,10,0,2,3,4,0,0,8,0,0,0,0,0,0,0,0,0,87,98,0,0,1,89,54,19,11,20,1,7,26,54,75,25,0,0,19,22,37,1,0,21,78,22,8,96,87,7,2,7,5,9706,9606.0,9604.0,,,9601.0,9512.0,,,,,,,,,,,,,,,,,L1F,F1F,F1F, , ,P1F,P1F, , , , , , , , , , , , , , , , ,6,9702,12,5,10,,,,,9603.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,20.0,1,0,20.0,9603,20.0,9603,20.0,9603,9603,,,20.0,110783,0,0.0,0,L,1,F,X,X,X,61.0,D
8801,MTR,2,MI,49120, , ,5201,0, , , , ,XXXX,T2,36,46.0,E,H, , , , ,2.0,5.0,M,,0,,,,,,,,,,,,,,,2,0,33,27,36,3,1,2, , , ,, ,Y, ,Y,Y,Y,Y,Y,Y,Y, , , , , , , , , ,3,X,1059,306,398,0,0,99,52,48,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,44,47,37,46,49,25,32,44,23,9,19,21,20,13,11,7,12,13,39,21,15,26,8,25,19,35,45,27,9,3,66,10,6,18,187,266,96,96,0,1,1,0,0,0,0,464,496,3,2,87,13,95,5,43,34,77,67,29,88,12,6,2,4,14,13,4,20,60,19,0,0,0,0,0,2,13,44,0,1,60,58,60,14,4,1,0,2,12,1,0,0,5,5,24,68,870.0,53.0,588.0,294,316,321,348,12155,18,23,23,21,12,1,1,0,0,15,21,24,23,14,2,1,0,1,29,6,47,7,30,70,10,83,6,1,1,0,0,0,2,8,28,2,18,23,2,64,70,80,60,75,56,67,46,99,99,1,6,7,1,6,16,0,0,10,6,23,14,6,5,7,0,4,39,5,4,6,10,5,4,3,1,4,5,3,1,3,1,2,8,80,6,0,120,8,13,46,21,5,6,1,2,23,2,19,4,0,0,0,18,33,1,27,14,36,6,1,4,1,24,0,1,7,1,0,4,0,0,0,1,1,0,61,98,0,0,2,94,71,32,13,37,1,3,6,26,42,58,0,0,4,10,27,38,0,20,0,99,0,99,96,5,2,5,7,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,,9503.0,9502.0,9501.0,,,,,,,L2F,A2F,A2F,A2F,A2F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F, ,I1E,I1E,I1E, , , , , , ,23,9702,60,6,14,,,,,9602.0,,9512.0,,,,,,,,,9502.0,,,,,,,,,,,20.0,,20.0,,,,,,,,,20.0,,,,,,,156.0,9,5,10.0,9203,25.0,8811,20.0,9602,8811,8910.0,11.0,17.333333333,72403,0,0.0,1,L,2,F,X,X,X,44.0,C
9501,SYN,1,OK,73036, , ,3201,0, , , , ,XXXX,T2,36,66.0,E,H, , , , ,,2.0,M,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,32,35,50,5,11,13, , , ,, , , , , , , , , , , , , , , , , , , , ,X,777,219,342,0,99,0,46,54,85,3,11,0,3,0,0,0,0,0,0,0,2,0,0,1,35,47,52,38,49,52,25,37,46,16,12,18,17,11,16,16,10,11,20,38,19,12,34,17,33,34,35,32,17,7,3,60,14,11,15,147,226,65,64,2,35,33,32,0,0,0,425,482,2,2,57,43,88,12,2,30,64,51,21,82,18,9,2,7,13,27,2,17,45,23,1,1,1,0,1,6,16,41,0,3,29,46,48,12,4,13,23,0,12,2,30,0,0,7,38,78,5880.0,263.0,650.0,201,248,280,333,11840,33,28,14,6,14,3,2,0,0,24,26,16,6,20,4,3,0,0,31,3,39,10,50,50,10,75,20,0,0,0,0,0,5,0,0,16,12,16,6,25,55,61,50,58,50,53,40,67,99,3,17,14,8,11,14,0,2,13,3,6,6,4,4,3,1,7,6,1,3,9,13,8,3,10,0,18,6,0,13,5,11,13,8,60,4,0,126,7,10,28,30,2,19,4,2,21,0,19,4,1,2,0,18,32,3,35,26,50,0,1,4,0,13,0,0,12,0,1,0,0,0,0,0,0,0,74,92,4,0,4,94,47,9,5,29,0,5,32,35,53,47,0,4,64,0,36,0,0,0,99,0,99,99,89,6,2,10,9,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,,9510.0,9509.0,,9506.0,,,9501.0,9412.0,,,,,,,L4D,A4D,A4D,A4D,N4D,N4D,N4D,N3D, ,N3D,N3D, ,N2C, , ,P1C,P1C, , , , , , ,10,9702,27,6,16,,,,,,9602.0,,,9511.0,9509.0,,9506.0,,,,9501.0,,,,,,,,,,,,5.0,,,3.0,5.0,,5.0,,,,3.0,,,,,,,29.0,7,4,3.0,9511,5.0,9506,5.0,9602,9501,9502.0,1.0,4.1428571429,112774,0,0.0,1,L,4,D,X,X,X,52.0,B
8901,AML,2,IN,47441, , ,1001,0,X, , , ,XXXX,T2,36,88.0,E,U, , , , ,,2.0,F,1.0,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,46,12,29,13,7,6, ,12, ,2.0, , , , , , , , , , , , , , , , , , , , ,X,745,214,360,0,87,13,45,55,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,50,54,41,50,53,21,38,45,17,10,20,14,11,16,17,11,21,12,33,23,11,37,20,36,39,34,27,13,4,1,58,13,15,14,133,207,66,66,4,23,19,13,0,0,0,360,372,2,2,66,34,92,8,0,26,59,48,19,79,21,6,0,6,11,34,2,18,51,30,0,0,0,0,0,1,2,20,0,1,31,47,50,12,4,19,4,10,7,11,13,3,1,1,6,43,0.0,87.0,581.0,191,208,233,241,10222,34,36,8,14,7,2,0,0,0,27,37,14,14,8,0,0,0,0,32,9,29,12,55,45,8,85,10,0,0,0,0,0,1,3,0,23,15,21,8,47,59,75,48,70,39,53,50,59,0,13,12,7,9,11,18,0,4,7,0,11,3,5,12,0,0,2,15,6,1,3,22,5,5,0,0,10,8,7,14,13,7,6,4,64,7,0,120,8,14,40,19,6,6,7,2,21,2,15,5,0,0,0,19,46,0,12,34,29,23,4,5,1,22,0,0,2,0,0,1,0,1,0,0,1,0,88,98,1,0,1,99,58,8,5,34,0,5,7,19,26,74,0,0,69,0,30,0,0,1,99,0,99,99,89,4,2,6,10,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,,9510.0,9508.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L3F,S3F,S3F,S4F,S4F,S4F,S4F,S4F, ,S4F,S4F,S4G,S4G,S4G,S4G,S4G,S4G,A4G,A4G,A4G,A4G,A4F,A4F,27,9702,89,6,29,,,,,,,,,9510.0,9509.0,,,9505.0,,9503.0,,,,9410.0,,9408.0,9406.0,,,,,,,,,21.0,20.0,,,20.0,,20.0,,,,20.0,,15.0,25.0,286.0,17,7,10.0,9411,25.0,9406,21.0,9510,8911,9102.0,15.0,16.823529412,10891,0,0.0,1,L,3,F,X,X,X,59.0,D
9001,AML,0,CA,95993, , ,4201,0, , , , ,XXXX,C2,27,56.0,I, , , , , ,,,M,,0,,,,,,,,,,,,,,, ,0,37,33,32,8,5,0, , , ,3.0, , , , , , , , , , , , , , , , , , , , ,X,610,162,203,0,0,99,52,48,73,1,2,14,12,9,2,1,1,0,0,0,10,0,0,2,38,46,49,37,46,50,25,32,38,30,11,14,21,22,18,8,5,11,14,29,28,18,23,8,19,17,33,50,29,16,9,62,10,8,20,199,293,92,91,3,3,0,0,2,1,2,1417,1456,3,2,85,15,96,4,0,37,80,69,31,87,13,6,2,4,13,12,3,13,46,14,0,1,0,18,44,70,82,95,3,3,67,62,62,15,5,3,0,3,10,3,0,1,12,24,32,56,9340.0,67.0,862.0,406,341,519,508,18590,20,4,21,18,9,17,3,0,8,18,15,18,15,5,14,4,0,10,23,8,51,19,38,62,10,67,16,0,0,0,0,0,17,0,0,35,15,21,6,45,61,80,39,74,39,39,7,76,99,37,11,17,3,15,5,0,0,10,20,11,3,0,3,22,0,12,0,3,3,3,20,6,0,6,0,6,12,0,8,8,5,0,21,53,9,3,120,12,14,25,18,12,5,13,3,23,0,17,9,0,0,0,21,37,0,33,34,32,8,0,2,2,9,0,0,3,1,1,0,3,0,0,0,0,29,49,67,9,2,22,94,78,44,10,19,0,0,13,78,95,5,0,0,62,8,17,0,0,7,0,99,0,99,94,9,3,8,7,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9509.0,9507.0,9506.0,9504.0,9503.0,,9412.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L2E,A2E,A2E,A2E,A2E,A2G,A2G,A2G,A2G,A2G,A2G,A2G,A1G,A1G,A1G, ,A1G,A1G,A1G,A1G,A1G,A1G,A2G,25,9702,59,6,12,,,,,,,,,,,,,,,,9412.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,127.0,9,5,5.0,9204,30.0,9401,7.0,9512,9102,9106.0,4.0,14.111111111,172846,1,10.0,0,L,2,E,X,X,X,16.0,C
8601,SPN,0,AA,34002, , ,3705,0, , , , ,XXXX,U4,10,61.0, , , , , , ,,, ,,0,,,,,,,,,,,,,,, ,0,0,0,0,0,0,0, , , ,, , , , , , , , , , , , , , , , , , , , ,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9508.0,9507.0,9506.0,9504.0,9503.0,9502.0,9412.0,9411.0,,9410.0,9409.0,,,L2G,S2G,S2G,S2G,S2G,S2G,S2G,S2G,S2G,S2G,S2G,S2G,A1G,A1G,A1G,A1G,A1G,A1G, ,I1G,I1G, , ,30,9702,71,6,13,,,,,,,,,,,,,,9506.0,,9504.0,,,,,,,,,,,,,,,,,,,,60.0,,50.0,,,,,,,275.0,11,6,5.0,8710,60.0,9506,60.0,9506,8610,8704.0,6.0,25.0,43537,0,0.0,0,L,2,G,X,X,X,46.0, 
9201,NAS,1,GA,30047, , ,4211,0, , , , ,XXXX,S1,14,55.0,E,H, , , , ,,6.0,M,9.0,0,,,,,,,,,,,,,,,3,0,26,48,11,10,5,3, , , ,9.0,03, ,Y, ,Y, , ,Y, , , , , , , , ,Y,Y, ,3,X,1733,457,500,99,0,0,51,49,94,1,0,3,10,2,0,0,0,0,0,0,8,0,0,2,30,39,41,30,39,42,32,34,44,22,16,19,35,20,7,2,1,12,15,36,20,17,5,0,3,4,23,73,49,18,7,69,6,1,24,296,346,89,88,11,11,0,0,0,0,0,1416,1437,5,5,86,14,94,6,0,60,91,84,55,92,8,5,2,4,7,4,4,24,65,5,1,1,0,9,45,75,93,98,2,2,84,77,73,20,4,11,0,0,5,9,0,0,25,96,97,99,520.0,197.0,524.0,573,582,662,677,17751,2,2,13,19,34,13,11,5,2,2,2,10,18,36,14,12,5,2,9,0,46,0,45,55,26,88,7,1,0,1,0,0,0,5,1,53,27,31,8,73,78,90,65,85,65,72,64,46,99,2,16,23,3,26,16,1,0,4,1,5,4,1,2,1,0,3,8,4,3,10,27,7,9,3,0,3,11,8,4,10,5,3,8,71,3,1,154,1,5,20,24,3,28,18,6,32,3,26,9,0,0,0,13,26,1,48,9,11,6,0,9,0,8,0,0,7,4,0,0,0,0,2,0,0,7,40,89,8,0,3,99,95,42,6,13,0,11,38,98,99,0,0,0,91,2,7,0,0,0,99,0,11,99,99,12,3,2,3,9706,9606.0,9604.0,9604.0,9603.0,9602.0,9601.0,9511.0,9510.0,9510.0,9508.0,9507.0,9506.0,9504.0,9503.0,9502.0,9501.0,9411.0,9411.0,9410.0,9409.0,9407.0,9406.0,L1F,A1F,A1F,A1F,S2F,S3G,S3G,S2G,S2G,S2G,S2G,S3G,S3G,S3G,S2G,S2F,S2F,S2F,S2F,S2F,S2F,S2E,S2E,21,9702,57,6,13,,,,,,,,,,,,9509.0,,,,9502.0,,9412.0,,,,9406.0,,,,,,,,,,,,15.0,,,,10.0,,25.0,,,,15.0,117.0,9,7,10.0,9502,25.0,9412,15.0,9509,9203,9212.0,9.0,13.0,27751,0,0.0,1,L,1,F,X,X,X,5.0,A
